,Unnamed: 0,hdb_string_clusters,Top_SVOs,both,guardian,telegraph,Perspective(ws),Perspective(wo),Value(o),Value(s),EU_Mentions,NonEU_Mentions,GN_Mentions,GS_Mentions,Total_Count,n_articles,natural_count,illegal_count,economic_count,object_count,numbers_count,total_dictionaries,macro,title,num_svos,Effective_Telegraph,Effective_Telegraph_prop,Effective_Guardian,Effective_Guardian_prop,GN_prop,GS_prop,EU_prop,nonEU_prop
0,1,0,"bill declare rwanda
bill deem rwanda
bill designate rwanda
decisionmaker treat rwanda
government pay rwanda",0.49,0.16,0.35,0.3,0.24,0.45,0.72,143,489,214,341,147,141,0,0,2,1,0,3,international issues/benchmarks,Rwanda,51,42.839999999999996,0.84,33.15,0.65,0.3855855855855856,0.6144144144144145,0.22626582278481014,0.7737341772151899
1,2,1,"which distribute food
which include food
which see food
which serve menu
who bring food",0.6,0.29,0.11,0.36,0.31,0.5,0.73,245,1015,389,670,210,200,0,0,3,3,0,6,economics,Food Access,72,51.12,0.71,64.08,0.89,0.36732766761095376,0.6326723323890463,0.19444444444444445,0.8055555555555556
2,3,2,"who support democrats
democrats accuse government
democrats accuse trump
democrats untangle package
democrats unveil bill",0.27,0.54,0.19,0.24,0.24,0.54,0.73,124,928,313,480,173,158,0,0,0,0,0,0,systems/policy,Democrats,67,30.82,0.46,54.269999999999996,0.8099999999999999,0.39470365699873894,0.605296343001261,0.11787072243346007,0.8821292775665399
3,4,3,"you get flight
aircraft assist crew
aircraft attack target
aircraft bomb position
we get airport",0.3,0.45,0.25,0.26,0.22,0.4,0.61,603,2457,1012,1574,278,230,0,0,0,3,1,4,crime/law,Flights & Airstrikes,84,46.2,0.55,63.0,0.75,0.391337973704563,0.608662026295437,0.19705882352941176,0.8029411764705883
4,5,4,"france advise citizen
france announce rule
france ask authority
france become country
france become france",0.22,0.2,0.57,0.27,0.25,0.46,0.71,328,522,416,317,127,115,0,0,2,0,0,2,international issues/benchmarks,France Relations,54,42.66,0.7899999999999999,22.68,0.42,0.567530695770805,0.4324693042291951,0.38588235294117645,0.6141176470588235
5,6,5,"who use republicans
biden accuse republicans
biden tell republicans
biden urge republicans
people vote republican",0.25,0.7,0.04,0.22,0.2,0.59,0.73,103,1094,335,482,174,152,0,0,0,0,0,0,systems/policy,Republicans,71,20.59,0.29,67.44999999999999,0.9499999999999998,0.41003671970624234,0.5899632802937577,0.0860484544695071,0.9139515455304928
6,7,6,"who visit australia
alex tell australia
amendment require australia
australia accept number
australia accept offer",0.08,0.87,0.04,0.33,0.3,0.59,0.75,244,2283,1042,882,301,277,0,0,7,2,0,9,international issues/benchmarks,Australia Benchmarks,118,14.16,0.12,112.1,0.95,0.5415800415800416,0.4584199584199584,0.09655718242975861,0.9034428175702414
7,8,7,"warsaw accuse putin
agency quote putin
biden call putin
chancellor urge putin
kim tell putin",0.42,0.45,0.13,0.21,0.19,0.55,0.75,1374,2692,1863,943,247,186,3,0,0,2,0,5,international issues/benchmarks,Putin Actions,69,37.95,0.55,60.03,0.87,0.6639344262295082,0.3360655737704918,0.337924249877029,0.6620757501229709
8,9,8,"you own house
act pass house
biden address house
biden ask congress
biden tell congress",0.52,0.34,0.14,0.3,0.28,0.57,0.73,581,2699,1151,1431,491,440,0,0,10,0,0,10,economics,Housing Situation,127,83.82000000000001,0.66,109.22,0.86,0.4457784663051898,0.5542215336948102,0.1771341463414634,0.8228658536585366
9,10,9,"you see hundred
accommodation cost million
which send thousand
which shelter thousand
which shield thousand",0.44,0.18,0.38,0.16,0.17,0.32,0.64,1066,4138,1793,2527,778,724,0,0,37,4,199,240,economics,Country Expenditures,234,191.88,0.82,145.07999999999998,0.6199999999999999,0.4150462962962963,0.5849537037037037,0.2048424289008455,0.7951575710991545
