,Unnamed: 0,hdb_string_clusters,Top_SVOs,both,guardian,telegraph,Perspective(ws),Perspective(wo),Value(o),Value(s),EU_Mentions,NonEU_Mentions,GN_Mentions,GS_Mentions,Total_Count,n_articles,natural_count,illegal_count,economic_count,object_count,numbers_count,total_dictionaries,macro,title,num_svos,num_svos_y,Effective_Telegraph,Effective_Telegraph_prop,Effective_Guardian,Effective_Guardian_prop,GN_prop,GS_prop,EU_prop,nonEU_prop
0,1,0,"you have food
authority provide food
biden attend dinner
breakfast follow series
child eat food",0.53,0.33,0.14,0.34,0.3,0.53,0.74,309,1248,509,788,267,252,0,0,3,3,0,6,economics,Food Access,94,94,62.980000000000004,0.67,80.84,0.86,0.39244410177332306,0.607555898226677,0.19845857418111754,0.8015414258188824
1,2,1,"who support democrats
democrats accuse government
democrats accuse trump
democrats become party
democrats boost number",0.27,0.54,0.19,0.24,0.24,0.55,0.73,140,968,338,491,181,166,0,0,0,0,0,0,systems/policy,Democrats,70,70,32.2,0.46,56.7,0.81,0.4077201447527141,0.5922798552472859,0.1263537906137184,0.8736462093862816
2,3,2,"you get flight
aircraft assist crew
we get flight
we get plane
we have airfield",0.3,0.44,0.26,0.27,0.21,0.4,0.62,659,2881,1134,1862,313,255,0,0,0,3,1,4,crime/law,Flights & Airstrikes,90,90,50.400000000000006,0.56,66.6,0.74,0.37850467289719625,0.6214953271028038,0.18615819209039547,0.8138418079096045
3,4,3,"who use republicans
biden accuse republicans
biden tell republicans
biden urge republicans
people vote republican",0.25,0.69,0.06,0.22,0.2,0.59,0.73,121,1206,372,535,190,165,0,0,0,0,0,0,systems/policy,Republicans,77,77,23.87,0.31,72.38,0.94,0.4101433296582139,0.5898566703417861,0.09118311981914091,0.908816880180859
4,5,4,"who visit australia
alex tell australia
spokesman tell australia
spokesperson tell australia
that affect australians",0.08,0.88,0.04,0.33,0.31,0.6,0.75,253,2388,1092,924,312,288,0,0,7,2,0,9,international issues/benchmarks,Australia Benchmarks,122,122,14.64,0.12000000000000001,117.12,0.9600000000000001,0.5416666666666666,0.4583333333333333,0.09579704657326771,0.9042029534267323
5,6,5,"warsaw accuse putin
agency quote putin
biden call putin
chancellor urge putin
putin sign decree",0.42,0.46,0.12,0.21,0.19,0.55,0.75,1499,2902,2019,1043,267,200,3,0,0,2,0,5,international issues/benchmarks,Putin Actions,76,76,41.04,0.54,66.88,0.8799999999999999,0.6593729588504246,0.3406270411495754,0.34060440808907066,0.6593955919109293
6,7,6,"government pay million
government spend billion
government spend million
thousand cross border
thousand cross channel",0.42,0.21,0.37,0.16,0.17,0.33,0.63,1191,4614,1985,2837,831,769,0,0,39,4,222,265,economics,Country Expenditures,259,259,204.61,0.79,163.17000000000002,0.6300000000000001,0.41165491497304024,0.5883450850269598,0.20516795865633075,0.7948320413436692
7,8,7,"government spend year
uk have year
uk face year
treatment take year
tories spend year",0.51,0.27,0.22,0.42,0.27,0.22,0.58,605,1961,996,1120,493,474,0,0,1,0,2,3,economics,Attributes with Year Duration,99,99,72.27000000000001,0.7300000000000001,77.22,0.78,0.4706994328922495,0.5293005671077504,0.2357755261106781,0.7642244738893219
8,9,8,"you spend month
business have month
case take month
challenge take month
charge carry month",0.61,0.21,0.17,0.4,0.26,0.25,0.57,349,1486,641,880,293,284,0,0,0,0,0,0,integration,Attributes with Weeks Duration,70,70,54.599999999999994,0.7799999999999999,57.39999999999999,0.8199999999999998,0.42143326758711375,0.5785667324128863,0.1901907356948229,0.8098092643051771
9,10,9,"president unveil proposal
president urge biden
president urge nation
president urge state
president use that",0.27,0.65,0.08,0.27,0.22,0.6,0.79,666,2213,1077,1135,278,240,0,0,1,1,0,2,systems/policy,President Actions & Decisions,96,96,33.6,0.35000000000000003,88.32000000000001,0.92,0.4868896925858951,0.5131103074141049,0.23133032302882944,0.7686696769711705
10,11,10,"police lead investigation
police investigate incident
police investigate case
police open investigation
police prepare report",0.42,0.32,0.26,0.33,0.22,0.52,0.78,254,1125,501,623,260,244,0,0,0,0,0,0,crime/law,Police Actions,91,91,61.879999999999995,0.6799999999999999,67.34,0.74,0.445729537366548,0.5542704626334519,0.18419144307469182,0.8158085569253082
